listing_id,interest_level
7142618,2
7210040,2
7103890,2
7143442,2
6860601,2
6840081,2
6922337,2
6913616,2
6937820,2
6893933,2
6832604,2
6915282,2
7127565,1
6827899,2
6934855,2
6861826,2
6871643,2
6842542,2
6934145,2
6829365,2
7167858,2
6859483,2
6861377,2
6848960,2
6918850,2
6916867,2
6895840,2
6813539,2
7116900,1
6890328,2
6879406,2
6824924,2
6911302,2
6918742,2
6910586,2
6821750,2
6860647,2
6932873,2
6846053,2
6940365,2
6931867,2
6876383,2
6910980,2
6880877,2
6839552,2
6838051,2
6928201,2
6945608,1
6816147,2
6868129,2
6849448,2
7113677,2
6930856,2
6889594,2
6842682,2
6880366,2
6835063,2
6820479,2
6882057,2
6834440,2
6880846,2
6847248,2
6868368,2
6943505,2
7174304,2
6880747,2
6933565,2
6888511,2
6942704,2
6840304,2
6856860,2
6884921,2
6937417,2
6831129,2
6936660,2
6940667,2
7201307,2
6825434,2
6848114,2
6947758,2
6897002,2
6926661,2
6867411,2
6910154,2
7157900,2
6922324,2
6863068,2
6912109,2
6918609,1
6889300,2
6837794,2
6943098,2
6927601,2
6897826,2
6882892,2
6873384,2
6934693,2
7224450,2
6898157,2
6837355,2
6830595,2
6943561,2
6844380,2
6814286,2
6898520,2
6940979,1
6851090,2
7107169,2
6830287,2
6933575,2
6938972,1
6888315,2
6855106,2
6838237,2
6901024,2
6846627,2
7219857,2
6852685,2
6831610,2
6943538,2
6911637,2
6854543,2
6940451,2
6819530,2
7093396,2
6840326,2
6834204,2
6902518,1
6930253,2
6828293,2
7203744,1
6816478,1
6868890,2
6879338,2
6898532,2
6899965,2
7133875,2
6822218,2
6814018,2
6896376,2
6918670,2
6867839,2
6823554,2
6934798,2
6820823,2
6880212,2
6934814,2
7254134,2
6938303,2
6813807,2
6878604,2
6876763,2
6844352,2
6915939,2
7109370,2
6855445,2
6818668,2
6836527,2
6831717,2
6937162,2
6922876,2
7109482,1
6940972,2
6883790,2
6921643,2
6935700,2
6827025,1
6943096,2
7161468,2
6879610,1
6935762,1
6925042,2
7121050,2
6821601,2
6926810,2
6946532,2
6875171,2
7096285,2
6812321,2
6822697,2
6941294,2
6873564,2
6926791,2
7142444,2
6878128,2
6927428,2
6812674,2
6881774,2
7167797,2
6865238,2
6841710,2
6856334,2
6906462,2
6837438,2
6908277,2
6841291,2
6915178,2
6893031,2
6894985,1
6931134,2
6872264,2
6816953,2
7163518,2
6893253,2
6943822,2
6946313,2
6839443,2
6911338,2
7223877,2
6917884,2
6823126,2
6939488,2
7196924,2
6905685,2
6894092,2
6812181,2
6854610,2
6873754,2
6859181,2
6825402,2
6819526,2
6896065,2
6931793,2
6907360,2
6813182,2
6823959,2
6942189,2
6844384,2
6836888,2
6917844,2
6937842,1
6926917,2
7160740,2
6936310,2
6849109,1
6831018,2
6909842,2
6861360,2
6883414,2
6876026,2
7095390,2
6932265,2
6870949,2
6831335,2
6895698,2
6889889,2
6876679,2
6947097,2
6874970,2
6831069,2
6833628,2
6819282,2
6825025,2
6856513,2
6928711,2
6832548,1
6881870,2
6866978,1
7163400,2
6917187,2
6927475,2
6903243,2
6876188,2
6922219,2
7104085,2
6920897,1
6812177,2
6941047,2
6827609,2
6934328,2
6937556,2
6879765,2
6942927,2
6945170,2
6901915,2
6824475,2
6832968,2
7166718,2
6905079,2
6940297,1
6911080,2
6917208,2
6858925,2
7169883,2
6944112,0
6885816,2
6837733,2
6828658,2
6839429,2
7164794,2
6837661,2
6883255,2
6833054,2
7675463,2
6871526,2
6876295,2
7204045,2
6840357,1
6917531,2
6886057,1
6833734,2
6908098,2
6860562,2
6859167,2
6812141,2
6919431,2
6869389,2
6906034,2
7108495,2
6864681,2
6893982,2
6862160,2
6854804,2
7143164,2
6936651,2
6837450,2
6908259,1
6916539,2
6947176,2
6933958,2
6816549,2
6876117,2
6848605,2
6840659,2
6823496,2
6912609,2
7097937,2
6924524,2
6938236,2
6865751,2
6936323,2
6868422,1
7210133,2
7215631,2
6940189,2
6888941,2
6831598,2
6939963,2
6897175,2
6816167,2
6812965,2
7149372,2
6875959,2
6925644,2
6874269,2
6814721,2
6922432,2
6858861,2
6835339,2
6896997,1
6921134,2
6883685,2
6911406,2
6825733,2
6884462,1
6858682,2
6894013,2
6856391,2
6828064,2
6817336,2
6819178,2
7147339,2
6887757,2
6946859,2
6855963,2
6839828,1
6870806,2
6880221,2
6921809,2
6897069,2
6897157,2
6898912,2
6856271,2
6888381,2
7099191,2
6917882,1
6931260,2
6849996,2
6887973,2
6850205,1
6845657,1
6930302,2
6852391,2
6920411,1
6907999,2
6864094,2
6813852,2
7232295,2
6896558,1
6858919,2
6847828,2
6925116,2
6854687,2
6946415,2
6827859,2
6884313,1
6848651,1
7136298,2
6874534,2
6908942,2
6894718,2
6876449,2
6825630,2
7155655,2
7201310,2
6864334,2
6876658,2
6842370,2
6835467,2
7227368,2
6859482,2
6878641,2
6869916,2
6841060,2
6887832,2
6905898,2
7104742,1
6948090,2
6839851,2
6934051,2
6888727,2
7167478,2
6892109,2
6908544,2
6921725,2
6932343,1
6914309,2
6919805,2
6947828,2
6920362,2
7110179,1
6877834,2
6876966,2
6823918,2
6871243,2
6928189,1
6852455,2
7208631,1
6831811,2
6904276,2
6831589,2
6901814,2
6854667,1
7192650,2
6836299,2
6887919,2
6927679,2
6855908,2
6854766,2
6847472,2
6862519,2
6938819,2
6945434,2
6832722,2
6852707,2
7177680,1
6834945,2
6890316,2
6816620,2
6945175,2
6914016,2
6852619,2
6813211,2
6820546,2
6836128,2
6850557,2
6864997,2
6883705,2
6898767,2
6866020,1
7126382,1
6847427,2
6841013,2
6909469,2
6922473,2
6925906,2
6946014,2
6820739,2
6927559,2
7174772,2
6931036,2
6918163,2
6893604,1
6868844,1
6814537,1
6916118,2
6838509,2
6919725,2
6932476,2
6860496,2
7156799,2
6837521,2
6913204,2
6947516,2
6838117,2
6933366,2
7134198,2
6898450,2
6819926,2
6947698,2
6838721,2
6936661,1
6912257,2
6905569,2
6927167,2
7150689,2
6820358,2
6945045,1
6866884,2
6820658,2
6826462,2
6932390,2
6905031,2
6923011,2
6908504,2
6881050,2
6892968,2
7346996,2
6876206,2
6813475,2
7190057,2
6838465,2
6899364,2
6891616,2
6836715,2
6829616,2
6829144,2
6893064,2
6861300,2
6926847,2
6894021,2
6897946,2
6835716,2
6832160,2
6835291,2
6945184,2
7140488,1
6937850,2
6899603,2
6903105,2
6828476,2
6835098,2
6830512,2
6879997,2
7131517,1
6835955,2
6875250,2
6932794,2
6948263,1
6867201,2
6882748,2
6902842,2
6847535,2
6825267,2
6909277,2
7152429,2
6931179,2
6896746,2
6937073,2
6934627,2
6887878,2
6921531,2
6897461,2
6862066,2
6851531,2
6928550,2
6945851,2
6946955,2
6869136,0
6908667,2
6820525,2
6887970,2
6848365,2
6816173,2
6900732,2
6815786,2
6945972,2
6848445,2
6856486,2
6867010,2
6828257,2
6871807,2
7212966,2
6889959,2
6915510,2
6905402,2
6826100,2
6848893,2
7155647,2
6812883,2
6866095,2
6931127,2
6829407,2
6867548,2
7132575,1
6890847,2
6916429,2
6884716,2
6896897,2
6941572,2
6945277,2
7133293,2
7213385,2
6831928,2
6932687,2
6873877,2
7135459,2
6876620,2
6936163,2
6912398,2
6917655,2
6941149,2
6941378,2
6882453,2
7119160,2
6868451,2
6945881,2
6822541,2
6884355,2
7132247,2
6872049,2
6890740,2
6840897,2
6847694,2
6938196,2
6939526,2
6917529,2
6885636,2
7202614,2
6926453,2
6844636,1
6879293,2
6924780,1
6881024,2
6851374,2
6850953,2
6892292,2
6886159,2
6849877,2
6940840,2
6926838,2
6879243,2
6944286,2
6915587,0
6881904,2
7154358,2
6899258,2
6855460,2
6864884,2
6868209,2
6853834,2
7210020,2
6933228,2
6929227,2
7192346,2
6928834,2
6812269,2
6851446,2
6930820,2
6875310,2
6932397,2
6904291,2
6921642,2
7136057,1
6920815,2
6861757,2
6934222,2
6946448,2
6890569,2
6884477,2
7145006,2
6893718,2
6893330,2
6901780,2
6815738,1
6917209,2
6904227,2
6894402,2
7146083,2
6902153,2
6925988,1
6881323,2
6937405,2
7098390,2
6935942,2
6833510,2
6812857,2
6828441,2
6915711,2
6880643,2
7224930,2
6852614,2
6853816,2
6811964,1
6847800,2
6859897,1
6882929,2
7157584,2
6863444,2
6836902,2
6918960,2
6882854,2
6822755,2
6815184,2
6846582,2
6940309,2
6924056,2
6824481,2
6839735,2
6900130,2
6946739,2
7144008,2
6863751,2
6820293,2
6818472,2
6832420,2
6879450,2
6943618,2
6883463,2
6834919,2
7505696,2
6903645,2
6831148,2
6828948,2
6878495,2
6924862,2
6887802,2
6903228,2
6947415,2
6941508,2
6856111,2
7126808,1
6939857,2
6822528,2
6947631,2
6887810,2
6849210,2
6901742,2
6850925,2
7181995,2
6841559,2
6822957,2
6943349,2
6923825,2
6871218,2
6932761,2
7168983,2
6853713,2
6814124,2
6828980,2
6939747,2
6862615,2
6911182,2
6947421,2
7163662,2
6933362,1
6822086,2
6939543,2
6882675,2
6925986,2
6927417,2
6824119,1
6923589,2
7205380,2
6904992,2
6857676,2
6942001,1
7187800,2
