Id,LotFrontage,LotArea,LotShape,YearBuilt,YearRemodAdd,MasVnrArea,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,HeatingQC,BedroomAbvGr,TotRmsAbvGrd,Functional,GarageYrBlt,GarageCars,PavedDrive,WoodDeckSF,OverallGrade,GarageGrade,ExterGrade,KitchenScore,FireplaceScore,GarageScore,TotalBath,AllSF,AllFlrsSF,AllPorchSF,HasMasVnr,BoughtOffPlan,SalePrice
1461,0.67040313,0.119019056,0.700716543,-0.337364328,-1.153756905,-0.573756576,-0.874670235,-0.072849508,-0.6289507679999999,-0.933118838,0.072095801,-0.671855086,-1.430393339,-1.0603027329999999,-0.934792545,0.25475152100000004,-0.730587285,-1.02475284,0.290175955,0.368888923,-0.82924058,0.10074453900000001,-0.775909871,-1.002394781,-0.951673463,1.107605398,-1.548670108,-1.024860886,-1.2290493390000001,0.317133717,-0.819537547,-0.303764824,117920.26850128685
1462,0.699931126,0.387346026,-1.028509366,-0.436730976,-1.299070193,0.036581964,-0.874670235,-0.072849508,-0.6289507679999999,0.890533549,1.129971423,-0.364194312,-1.430393339,0.165909165,-0.314155087,0.25475152100000004,-0.855639413,-1.02475284,0.290175955,2.390473538,-0.82924058,0.10074453900000001,-0.775909871,0.9358347020000001,-0.951673463,-0.7321201190000001,-0.905892549,0.132637898,-0.348894109,-0.484211726,1.2202003479999999,-0.303764824,154368.67775010824
1463,0.493235155,0.343013744,-1.028509366,0.855035445,0.638440321,-0.573756576,0.949856788,-0.072849508,-0.6289507679999999,0.890533549,0.823071243,-0.972729225,0.6991084009999999,0.165909165,-0.314155087,0.25475152100000004,0.770038254,0.31580433399999996,0.290175955,0.94420154,-0.82924058,0.10074453900000001,-0.775909871,-1.002394781,0.6104872610000001,0.016093608,0.379662569,-0.000211394,0.260913209,-0.503291379,-0.819537547,-0.303764824,198053.79692960368
1464,0.611347138,-0.047759598,-1.028509366,0.8881576609999999,0.638440321,-0.460730921,-0.874670235,-0.072849508,-0.6289507679999999,0.890533549,0.383645985,-0.549695661,0.6991084009999999,0.165909165,0.30648237100000003,0.25475152100000004,0.8117222959999999,0.31580433399999996,0.290175955,2.126788588,-0.82924058,0.10074453900000001,-0.775909871,0.9358347020000001,0.6104872610000001,-0.036721477999999995,0.379662569,-0.035725561,0.210095933,-0.484211726,1.2202003479999999,-0.303764824,192686.42327410536
1465,-0.422132715,-0.55225488,-1.028509366,0.689424365,0.347813744,-0.573756576,0.949856788,-0.072849508,-0.6289507679999999,0.890533549,-0.40452947899999997,1.0180169609999998,0.6991084009999999,-1.0603027329999999,-0.934792545,0.25475152100000004,0.56161804,0.31580433399999996,0.290175955,-0.749774501,0.64947869,0.10074453900000001,0.784483461,0.9358347020000001,-0.951673463,0.121723781,-0.26311499,0.003734625,-0.448495971,1.3283553479999999,-0.819537547,-0.303764824,182144.98287286033
1466,0.522763151,-0.045527766,-1.028509366,0.7225465809999999,0.444689269,-0.573756576,0.949856788,-0.072849508,-0.6289507679999999,-0.933118838,-1.016004839,0.443415221,0.6991084009999999,0.165909165,0.30648237100000003,0.25475152100000004,0.603302083,0.31580433399999996,0.290175955,0.504726624,-0.82924058,0.10074453900000001,-0.775909871,-1.002394781,0.6104872610000001,-0.168759195,0.379662569,-0.183043588,0.313763177,-0.026300043999999998,-0.819537547,-0.303764824,176617.4694484376
1467,-1.691836535,-0.250450443,-1.028509366,0.689424365,1.074380186,-0.573756576,0.949856788,-0.072849508,-0.6289507679999999,0.890533549,1.15787144,-0.755556914,0.6991084009999999,0.165909165,-0.314155087,0.25475152100000004,0.56161804,0.31580433399999996,0.290175955,3.10961431,0.64947869,0.10074453900000001,0.784483461,-1.002394781,-0.951673463,-0.256784339,1.022440129,-0.265909978,-0.63753624,-0.6273091270000001,-0.819537547,-0.303764824,187822.6859891096
1468,0.16842720100000003,-0.20763986399999998,-1.028509366,0.8881576609999999,0.638440321,-0.573756576,0.949856788,-0.072849508,-0.6289507679999999,-0.933118838,-1.016004839,0.502232722,0.6991084009999999,0.165909165,0.30648237100000003,0.25475152100000004,0.8117222959999999,0.31580433399999996,0.290175955,-0.749774501,-0.82924058,0.10074453900000001,-0.775909871,-1.002394781,0.6104872610000001,-0.37561828399999997,0.379662569,-0.398759271,-0.072448125,-0.112158485,-0.819537547,-0.303764824,161631.68446396617
1469,0.8180431090000001,-0.027673117,0.700716543,0.623179933,0.250938218,-0.573756576,0.949856788,-0.072849508,2.272059745,0.890533549,0.46502103200000006,0.21719406300000002,0.6991084009999999,-1.0603027329999999,-0.934792545,0.25475152100000004,0.478249955,0.31580433399999996,0.290175955,0.78439248,0.64947869,0.10074453900000001,-0.775909871,0.9358347020000001,0.6104872610000001,0.121723781,0.379662569,0.110277126,-0.32450181699999997,-0.8276454870000001,-0.819537547,-0.303764824,210660.8289907094
1470,0.375123172,-0.20784275800000002,0.700716543,-0.039264385,-0.717817039,-0.573756576,-0.874670235,-0.072849508,-0.6289507679999999,0.890533549,0.8532962609999999,-1.282652211,-1.430393339,-1.0603027329999999,-1.5554300030000001,0.25475152100000004,-0.3554309,0.31580433399999996,0.290175955,1.167934225,-0.82924058,0.10074453900000001,-0.775909871,-1.002394781,-0.951673463,0.205347668,-0.26311499,-1.043275639,-1.257507014,-0.8276454870000001,-0.819537547,-0.303764824,123505.5274245019
1471,-0.924108644,-0.46572070000000004,-1.028509366,0.921279877,0.686878083,-0.573756576,0.949856788,-0.072849508,-0.6289507679999999,0.890533549,1.427571598,-0.481829314,0.6991084009999999,-1.0603027329999999,-0.934792545,0.25475152100000004,0.8534063390000001,0.31580433399999996,0.290175955,0.8722874629999999,0.64947869,0.10074453900000001,0.784483461,0.9358347020000001,0.6104872610000001,0.143730067,1.022440129,0.24312641899999998,-0.33263258100000004,-0.178937271,-0.819537547,-0.303764824,215715.5755908396
