LotFrontage,LotArea,LotShape,YearBuilt,YearRemodAdd,MasVnrArea,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,HeatingQC,BedroomAbvGr,TotRmsAbvGrd,Functional,GarageYrBlt,GarageCars,PavedDrive,WoodDeckSF,OverallGrade,GarageGrade,ExterGrade,KitchenScore,FireplaceScore,GarageScore,TotalBath,AllSF,AllFlrsSF,AllPorchSF,HasMasVnr,BoughtOffPlan,SalePrice
0.227483193,-0.202770414,0.700716543,1.053768741,0.880629135,0.533894849,0.949856788,-0.072849508,-0.628950768,0.890533549,0.625446127,-0.943320475,0.699108401,0.165909165,0.927119829,0.254751521,1.02014251,0.315804334,0.290175955,-0.749774501,0.64947869,0.100744539,0.784483461,0.935834702,-0.951673463,0.306576584,1.665217688,0.011626662,0.425561185,-0.245716058,1.220200348,-0.303764824,208500
0.67040313,-0.086106514,0.700716543,0.15946891,-0.427190462,-0.573756576,0.949856788,-0.072849508,2.272059745,0.890533549,1.257846499,-0.640184124,0.699108401,0.165909165,-0.314155087,0.254751521,-0.105326644,0.315804334,0.290175955,1.6313805,0.64947869,0.100744539,-0.775909871,-1.002394781,0.610487261,-0.080734051,0.379662569,-0.043617598,-0.485084411,-0.827645487,-0.819537547,-0.303764824,181500
0.31606718,0.081280821,-1.028509366,0.987524309,0.832191372,0.341751235,0.949856788,-0.072849508,0.338052736,0.890533549,0.113945826,-0.300852388,0.699108401,0.165909165,-0.314155087,0.254751521,0.936774425,0.315804334,0.290175955,-0.749774501,0.64947869,0.100744539,0.784483461,0.935834702,0.610487261,0.570652017,1.665217688,0.195774196,0.580045706,-0.426972766,1.220200348,-0.303764824,223500
0.079843214,-0.091178858,-1.028509366,-1.860986261,-0.717817039,-0.573756576,-0.874670235,3.715324901,-0.628950768,0.890533549,-0.513804543,-0.061057961,0.699108401,0.165909165,0.306482371,0.254751521,0.811722296,1.656361509,0.290175955,-0.749774501,0.64947869,0.100744539,-0.775909871,0.935834702,0.610487261,0.720294763,-0.26311499,-0.110699914,0.439790023,2.101081311,-0.819537547,-0.303764824,140000
0.788515113,0.386635898,-1.028509366,0.954402093,0.735315846,1.404192398,0.949856788,-0.072849508,1.30505624,0.890533549,0.506871057,-0.174168539,0.699108401,1.392121062,1.547757287,0.254751521,0.895090382,1.656361509,0.290175955,0.78439248,0.64947869,0.100744539,0.784483461,0.935834702,0.610487261,1.574138662,1.665217688,1.033645475,1.417514424,-0.026300044,1.220200348,-0.303764824,250000
0.818043109,0.371926102,-1.028509366,0.722546581,0.493127032,-0.573756576,0.949856788,-0.072849508,-0.628950768,0.890533549,0.685896162,-1.137870671,0.699108401,-2.28651463,-0.934792545,0.254751521,0.603302083,0.315804334,0.290175955,-0.43015638,-0.82924058,0.100744539,-0.775909871,-1.002394781,-0.951673463,0.007291094,0.379662569,-0.525031865,-0.281815304,2.511293859,-0.819537547,-0.303764824,143000
0.522763151,-0.037006229,0.700716543,1.086890956,0.977504661,0.477382022,0.949856788,-0.072849508,1.30505624,0.890533549,2.166922033,-0.565531142,0.699108401,0.165909165,0.306482371,0.254751521,1.061826553,0.315804334,0.290175955,1.28779102,0.64947869,0.100744539,0.784483461,0.935834702,0.610487261,0.693887219,1.022440129,1.082313037,0.393038128,-0.283875365,1.220200348,-0.303764824,307000
-1.691836535,-0.006775062,-1.028509366,0.060102263,-0.572503751,0.782551292,0.949856788,-0.072849508,0.338052736,0.890533549,0.981171336,-0.794014511,0.699108401,0.165909165,0.306482371,0.254751521,-0.230378772,0.315804334,0.290175955,1.12798196,0.64947869,0.100744539,-0.775909871,-1.002394781,2.172647984,0.024896123,1.665217688,0.841605904,1.197983789,3.293559648,1.220200348,-0.303764824,200000
-0.185908748,-0.43914162,0.700716543,-1.331030806,-1.686572296,-0.573756576,-0.874670235,-0.072849508,-0.628950768,-0.933118838,-1.016004839,0.870973209,0.699108401,-1.060302733,0.927119829,-2.810688266,-1.981108567,0.315804334,0.290175955,-0.030633729,0.64947869,0.100744539,-0.775909871,0.935834702,2.172647984,-0.045523993,-0.26311499,0.222080986,0.555653413,1.128018987,-0.819537547,-0.303764824,129900
-0.215436744,-0.30726069,0.700716543,-1.066053079,-1.686572296,-0.573756576,-0.874670235,-0.072849508,-0.628950768,0.890533549,0.962571325,-0.965942591,0.699108401,-1.060302733,-0.934792545,0.254751521,-1.647636225,-1.02475284,0.290175955,-0.749774501,-0.82924058,3.221681757,-0.775909871,0.935834702,2.172647984,-0.300796911,-0.26311499,-0.643412423,-0.861132257,-0.78948618,-0.819537547,-0.303764824,118000
0.375123172,0.076208477,0.700716543,-0.204875465,-0.960005853,-0.573756576,-0.874670235,-0.072849508,-0.628950768,-0.933118838,1.0904464,-0.97951586,0.699108401,0.165909165,-0.934792545,0.254751521,-0.563851114,-1.02475284,0.290175955,-0.749774501,-0.82924058,0.100744539,-0.775909871,-1.002394781,-0.951673463,-0.415229599,-0.26311499,-0.627628349,-0.936341826,-0.827645487,-0.819537547,-0.303764824,129500
0.818043109,0.149656011,-1.028509366,1.120013172,1.025942423,1.0425103,0.949856788,-0.072849508,-0.628950768,0.890533549,1.304346526,-0.882240762,0.699108401,1.392121062,2.789032203,0.254751521,1.103510596,1.656361509,0.290175955,0.424822094,0.64947869,0.100744539,0.784483461,0.935834702,2.172647984,1.134012941,2.307995247,1.238838441,1.673633497,-0.627309127,1.220200348,3.292020409,345000
-1.691836535,0.255566542,-2.757735274,-0.304242113,-1.105319142,-0.573756576,-0.874670235,-0.072849508,-0.628950768,0.890533549,0.697521169,-0.886765186,-1.430393339,-1.060302733,-1.555430003,0.254751521,-0.688903242,-1.02475284,0.290175955,0.368888923,-0.82924058,0.100744539,-0.775909871,-1.002394781,-0.951673463,-0.55606983,-0.26311499,-0.964355268,-1.196526282,0.851364012,-0.819537547,-0.303764824,144000
0.995211084,0.020615592,-1.028509366,1.153135388,1.074380186,1.155535956,0.949856788,-0.072849508,1.30505624,-0.933118838,-1.016004839,2.097091883,0.699108401,0.165909165,0.306482371,0.254751521,1.145194638,1.656361509,0.290175955,0.528697983,0.64947869,0.100744539,0.784483461,0.935834702,0.610487261,1.591743691,-0.26311499,0.566699943,-0.013500084,-0.512831206,1.220200348,3.292020409,279500
-1.691836535,0.047803354,-1.028509366,-0.370486544,-1.202194668,0.624315374,-0.874670235,-0.072849508,-0.628950768,0.890533549,0.688221164,-0.106302192,-1.430393339,-1.060302733,-0.934792545,0.254751521,-0.772271327,-1.02475284,0.290175955,-0.749774501,-0.82924058,0.100744539,-0.775909871,-1.002394781,0.610487261,-0.55606983,0.379662569,-0.06729371,-0.50337863,2.8833471,1.220200348,-0.303764824,157000
-0.185908748,-0.43914162,0.700716543,-1.397275238,0.783753609,-0.573756576,-0.874670235,-0.072849508,-0.628950768,-0.933118838,-1.016004839,0.59950782,0.699108401,-1.060302733,-0.934792545,0.254751521,0.519933997,0.315804334,0.290175955,-0.366232756,2.867557595,0.100744539,-0.775909871,-1.002394781,-0.951673463,0.429811786,-1.548670108,-1.145872122,-1.314422364,0.240815103,-0.819537547,-0.303764824,132000
-1.691836535,0.080367799,-1.028509366,-0.039264385,-0.717817039,0.443474325,-0.874670235,-0.072849508,-0.628950768,0.890533549,0.327845952,-0.31895008,0.699108401,-1.060302733,-0.934792545,0.254751521,-0.3554309,0.315804334,0.290175955,-0.749774501,0.64947869,0.100744539,-0.775909871,-1.002394781,0.610487261,0.007291094,-0.26311499,-0.722332795,-1.009518705,-0.827645487,1.220200348,-0.303764824,149000
0.434179164,0.034716707,0.700716543,-0.138631033,-0.863130328,-0.573756576,-2.699197257,-3.861023917,-0.628950768,-2.756771225,-1.016004839,-1.282652211,-1.430393339,-1.060302733,-0.314155087,0.254751521,-0.480483028,0.315804334,0.290175955,-0.749774501,-0.82924058,0.100744539,-0.775909871,0.935834702,-0.951673463,0.165736353,-0.26311499,-1.658854538,-0.415972914,-0.827645487,-0.819537547,-0.303764824,90000
0.257011189,0.329318417,0.700716543,1.086890956,0.929066898,-0.573756576,-0.874670235,-0.072849508,-0.628950768,0.890533549,0.485946045,-0.223937194,0.699108401,0.165909165,-0.314155087,0.254751521,1.061826553,0.315804334,0.290175955,-0.749774501,-0.82924058,0.100744539,-0.775909871,0.935834702,-0.951673463,0.429811786,0.379662569,-0.432958098,-0.785922688,0.145416836,-0.819537547,-0.303764824,159000
0.375123172,-0.293058128,0.700716543,-0.436730976,-0.960005853,-0.573756576,-0.874670235,-0.072849508,-0.628950768,-0.933118838,0.155795851,-0.094991134,-1.430393339,0.165909165,-0.314155087,-2.810688266,-0.855639413,-1.02475284,0.290175955,-0.749774501,-0.82924058,0.100744539,-0.775909871,-1.002394781,-0.951673463,-0.811342748,-1.548670108,-0.248810565,-0.328567199,-0.827645487,-0.819537547,-0.303764824,139000
1.290491042,0.382070789,-1.028509366,1.120013172,1.025942423,1.573730882,0.949856788,-0.072849508,1.30505624,-0.933118838,-1.016004839,1.336988793,0.699108401,1.392121062,1.547757287,0.254751521,1.103510596,1.656361509,0.290175955,1.167934225,0.64947869,0.100744539,0.784483461,0.935834702,0.610487261,1.648960035,1.665217688,1.284875325,1.779333433,0.641487825,1.220200348,3.292020409,325300
-0.008740773,-0.304318731,0.700716543,-1.364153022,-1.686572296,-0.573756576,-0.874670235,-0.072849508,-0.628950768,-0.933118838,-1.016004839,0.158376562,0.699108401,0.165909165,-0.314155087,0.254751521,-2.022792609,-1.02475284,-3.733597291,-0.749774501,2.867557595,0.100744539,-0.775909871,0.935834702,0.610487261,-0.872960349,-1.548670108,-1.06826709,-0.798118834,1.128018987,-0.819537547,-0.303764824,139400
0.522763151,-0.071701059,0.700716543,1.020646525,0.832191372,1.014253886,0.949856788,-0.072849508,-0.628950768,-0.933118838,-1.016004839,2.737297759,0.699108401,0.165909165,0.306482371,0.254751521,0.978458467,0.315804334,0.290175955,0.616592966,0.64947869,0.100744539,0.784483461,0.935834702,0.610487261,0.244958983,-0.26311499,1.334858227,0.598339926,0.689186958,1.220200348,-0.303764824,230000
-0.392604719,-0.631484885,0.700716543,0.15946891,-0.427190462,-0.573756576,0.949856788,-0.072849508,-0.628950768,0.890533549,0.93699631,-0.830209896,-1.430393339,0.165909165,-0.314155087,0.254751521,-0.105326644,0.315804334,0.290175955,0.049270802,0.64947869,0.100744539,-0.775909871,-1.002394781,0.610487261,0.412206758,-0.26311499,-0.601321558,-0.895688005,0.22173545,-0.819537547,-0.303764824,129900
-1.691836535,-0.223465576,-1.028509366,-0.105508817,0.783753609,-0.573756576,-0.874670235,-0.072849508,0.338052736,-0.933118838,-0.578904582,-0.82116105,0.699108401,0.165909165,-0.314155087,0.254751521,-0.438798986,-1.02475284,0.290175955,2.494349427,0.64947869,0.100744539,0.784483461,0.935834702,0.610487261,-0.916972922,-0.26311499,-0.575014767,-0.895688005,0.030938916,-0.819537547,-0.303764824,154000
1.556243004,0.383592492,0.700716543,1.186257604,1.074380186,3.043064406,0.949856788,-0.072849508,-0.628950768,-0.933118838,-1.016004839,2.259971116,0.699108401,0.165909165,0.306482371,0.254751521,1.186878681,1.656361509,0.290175955,-0.749774501,0.64947869,0.100744539,0.784483461,0.935834702,0.610487261,1.811806552,-0.26311499,0.800830378,0.201965168,-0.293415192,1.220200348,-0.303764824,256300
0.079843214,-0.329579001,0.700716543,-0.668586488,0.735315846,-0.573756576,-0.874670235,-0.072849508,0.338052736,0.890533549,-0.471954519,-0.875454128,-1.430393339,0.165909165,-0.934792545,0.254751521,1.103510596,0.315804334,0.290175955,1.024106071,0.64947869,0.100744539,-0.775909871,0.935834702,-0.951673463,0.429811786,-0.905892549,-0.995923416,-1.220918575,-0.522371033,-0.819537547,-0.303764824,134800
1.201907055,0.104410707,0.700716543,1.186257604,1.122817949,0.556499981,0.949856788,-0.072849508,-0.628950768,0.890533549,1.815846827,-0.183217386,0.699108401,0.165909165,0.306482371,0.254751521,1.228562724,1.656361509,0.290175955,-0.749774501,0.64947869,0.100744539,0.784483461,0.935834702,0.610487261,1.292458201,1.022440129,1.119142544,0.413365039,-0.350654152,1.220200348,-0.303764824,306000
-0.304020732,0.595717896,-1.028509366,-0.469853192,0.590002558,-0.573756576,-0.874670235,-0.072849508,2.272059745,0.890533549,1.953021908,-0.814374415,-143%,-1.060302733,-0.314155087,0.254751521,-0.897323456,-1.02475284,0.290175955,1.55147597,-0.82924058,0.100744539,-0.775909871,-1.002394781,2.172647984,-0.701311318,-0.26311499,0.692972537,0.201965168,1.633629802,-0.819537547,-0.303764824,207500
0.079843214,-0.418446459,-1.028509366,-1.46351967,-1.686572296,-0.573756576,-0.874670235,-0.072849508,-0.628950768,-0.933118838,-1.016004839,-0.106302192,-1.430393339,-2.28651463,-1.555430003,0.254751521,-2.439633037,-1.02475284,0.290175955,-0.358242303,-0.82924058,0.100744539,-0.775909871,-1.002394781,-0.951673463,-1.049010638,-1.548670108,-1.995581457,-1.993341179,0.002319436,-0.819537547,-0.303764824,68500
-0.215436744,-0.197698071,0.700716543,-1.695375182,-1.686572296,-0.573756576,-0.874670235,-0.072849508,-0.628950768,-0.933118838,-1.016004839,0.185523101,-1.430393339,0.165909165,-0.314155087,0.254751521,-2.439633037,-1.02475284,-3.733597291,-0.749774501,-0.82924058,0.100744539,-0.775909871,-1.002394781,-0.951673463,-1.004998066,-1.548670108,-0.777577055,-0.373286402,1.328355348,-0.819537547,-0.303764824,40000
-1.691836535,-0.193234409,-1.028509366,-0.171753249,1.025942423,-0.573756576,-0.874670235,-0.072849508,-0.628950768,-0.933118838,-1.016004839,1.495343604,0.699108401,0.165909165,-0.314155087,0.254751521,-0.522167071,-1.02475284,0.290175955,-0.749774501,-0.82924058,0.100744539,-0.775909871,0.935834702,-0.951673463,-0.912571664,-0.905892549,-0.133060686,-0.554195907,-0.207556752,-0.819537547,-0.303764824,149350
0.818043109,0.06089,0.700716543,1.186257604,1.074380186,-0.573756576,0.949856788,-0.072849508,1.30505624,-0.933118838,-1.016004839,1.508916873,0.699108401,0.165909165,0.306482371,0.254751521,1.186878681,0.315804334,0.290175955,-0.749774501,0.64947869,0.100744539,0.784483461,0.935834702,-0.951673463,0.024896123,-0.26311499,-0.117276612,-0.54199976,-0.541450686,-0.819537547,-0.303764824,179900
0.375123172,0.010470906,-1.028509366,-0.40360876,-1.25063243,-0.573756576,-0.874670235,-0.072849508,-0.628950768,-0.933118838,1.350846553,-0.423011813,0.699108401,1.392121062,-0.314155087,0.254751521,-0.81395537,0.315804334,0.290175955,-0.749774501,-0.82924058,0.100744539,-0.775909871,0.935834702,0.610487261,-0.137950394,-0.26311499,0.711387291,0.405234275,-0.465132073,-0.819537547,-0.303764824,165500
0.079843214,-0.318115505,0.700716543,1.120013172,0.977504661,0.816458989,0.949856788,-0.072849508,-0.628950768,0.890533549,1.664721738,-0.359669888,0.699108401,-1.060302733,-0.314155087,0.254751521,1.103510596,0.315804334,0.290175955,0.872287463,0.64947869,0.100744539,0.784483461,0.935834702,0.610487261,0.341786642,1.022440129,0.742955439,0.122690217,-0.379273632,1.220200348,-0.303764824,277500
1.497187013,0.301217634,0.700716543,1.086890956,0.977504661,0.172212751,0.949856788,-0.072849508,1.30505624,-0.933118838,-1.016004839,1.244238119,0.699108401,1.392121062,1.547757287,0.254751521,1.061826553,1.656361509,0.290175955,0.153146691,0.64947869,0.100744539,0.784483461,0.935834702,0.610487261,0.935956366,1.665217688,1.330912208,1.933817953,-0.522371033,1.220200348,-0.303764824,309000
1.615298996,0.041615094,0.700716543,0.755668797,0.493127032,-0.573756576,0.949856788,-0.072849508,-0.628950768,-0.933118838,-1.016004839,1.198993887,0.699108401,0.165909165,-0.314155087,0.254751521,0.686670168,0.315804334,0.290175955,2.382483085,-0.82924058,0.100744539,-0.775909871,-1.002394781,-0.951673463,0.852332479,-0.905892549,-0.477679642,-0.820478436,-0.217096578,-0.819537547,-0.303764824,145000
